state_name,district_name,location,latitude,longitude
Kerala,Idukki,"Idukki, Kerala, India",9.8154785,76.9991599
Kerala,Kannur,"Kannur, Kerala, India",11.8763836,75.3737973
Kerala,Kasaragod,"Kasaragod, Kerala, India",12.4221964,75.1904446
Kerala,Kollam,"Kollam, Kerala, India",8.8870815,76.5907017
Kerala,Kottayam,"Kottayam, Kerala, India",9.6287383,76.6455326
Kerala,Kozhikode,"Kozhikode, Kerala, India",11.2450558,75.7754716
Kerala,Malappuram,"Malappuram, Kerala, India",11.1068448,76.1099551
Kerala,Palakkad,"Palakkad, Kerala, India",10.7873691,76.4742172
Kerala,Pathanamthitta,"Pathanamthitta, Kerala, India",9.2780841,76.9737443
Kerala,Thiruvananthapuram,"Thiruvananthapuram, Kerala, India",8.4882267,76.947551
Kerala,Thrissur,"Thrissur, Kerala, India",10.5270099,76.214621
Kerala,Wayanad,"Wayanad, Kerala, India",11.7151291,76.1271185
Madhya Pradesh,Alirajpur,"Alirajpur, Madhya Pradesh, India",22.2859524,74.3545628
Madhya Pradesh,Anuppur,"Anuppur, Madhya Pradesh, India",23.0346179,81.7510255
Madhya Pradesh,Ashoknagar,"Ashoknagar, Madhya Pradesh, India",24.6186095,77.8786983
Madhya Pradesh,Balaghat,"Balaghat, Madhya Pradesh, India",21.8611589,80.3237105
Madhya Pradesh,Barwani,"Barwani, Madhya Pradesh, India",21.7514248,74.8915957
Madhya Pradesh,Betul,"Betul, Madhya Pradesh, India",21.8797472,77.8753651
Madhya Pradesh,Bhind,"Bhind, Madhya Pradesh, India",26.3518828,78.6863189
Madhya Pradesh,Bhopal,"Bhopal, Madhya Pradesh, India",23.2584857,77.401989
Madhya Pradesh,Burhanpur,"Burhanpur, Madhya Pradesh, India",21.3348669,76.3708803
Madhya Pradesh,Chhatarpur,"Chhatarpur, Madhya Pradesh, India",24.7606089,79.6781776
Madhya Pradesh,Chhindwara,"Chhindwara, Madhya Pradesh, India",22.2071897,78.798833
Madhya Pradesh,Damoh,"Damoh, Madhya Pradesh, India",23.7981005,79.5419356
Madhya Pradesh,Datia,"Datia, Madhya Pradesh, India",25.9182946,78.6644962
Madhya Pradesh,Dewas,"Dewas, Madhya Pradesh, India",22.8057498,76.2940408
Madhya Pradesh,Dhar,"Dhar, Madhya Pradesh, India",22.5786572,75.2258637
Madhya Pradesh,Dindori,"Dindori, Madhya Pradesh, India",22.9070871,80.8846924
